,DBNOs,assists,boosts,createdAt,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,name,playerId,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta
0,0,2,3,2018-10-15T08:23:25Z,274.7592,alive,1,4,27,0,0.0,1,1,0,0,42.12793,0,tandyman,account.575dfb00cf3d4ef19819763c7a71b961,2094.0,1,0.0,0,0.0,0,1377.205,0,2496.34131,5,1,0,0.0
1,1,3,4,2018-10-15T07:53:54Z,368.9937,byplayer,1,2,6,0,0.0,2,4,0,0,55.0785561,0,tandyman,account.575dfb00cf3d4ef19819763c7a71b961,2086.0,0,0.0,0,0.0,0,1425.057,0,3616.51855,4,2,0,0.0
2,1,0,1,2018-10-15T07:32:00Z,149.897308,byplayer,0,21,22,0,0.0,1,1,0,0,150.5924,0,tandyman,account.575dfb00cf3d4ef19819763c7a71b961,2083.0,0,3094.27979,0,3.51559114,0,1125.153,0,1743.51685,4,7,0,0.0
3,3,2,9,2018-10-15T07:06:47Z,561.6475,alive,2,7,4,0,0.0,1,5,0,0,41.5008049,0,tandyman,account.575dfb00cf3d4ef19819763c7a71b961,2068.0,0,0.0,0,0.0,0,1293.449,0,2336.548,6,1,0,0.0
4,1,0,5,2018-10-15T06:40:15Z,199.2739,byplayer,0,10,9,0,0.0,2,2,0,0,16.64362,0,tandyman,account.575dfb00cf3d4ef19819763c7a71b961,2062.0,1,0.0,0,0.0,0,1253.437,0,3110.192,4,4,0,0.0
5,0,0,2,2018-10-15T03:04:20Z,149.61644,byplayer,0,3,41,0,0.0,0,0,0,0,0.0,0,tandyman,account.575dfb00cf3d4ef19819763c7a71b961,2059.0,0,7822.09961,0,19.2054577,0,1486.208,0,2492.16943,7,6,0,0.0
6,1,2,7,2018-10-15T02:01:56Z,200.703186,byplayer,0,12,41,0,0.0,0,0,0,0,0.0,0,tandyman,account.575dfb00cf3d4ef19819763c7a71b961,2053.0,0,3090.36963,0,136.182068,0,1312.484,0,2063.57861,3,3,0,0.0
7,2,0,1,2018-10-15T01:39:19Z,312.3183,byplayer,1,7,15,0,0.0,1,2,0,0,57.4955063,0,tandyman,account.575dfb00cf3d4ef19819763c7a71b961,2050.0,1,0.0,0,0.0,0,928.061,0,1806.6178,6,6,0,0.0
8,1,0,3,2018-10-15T01:12:35Z,191.93634,suicide,1,12,11,0,0.0,2,2,0,0,4.891367,0,tandyman,account.575dfb00cf3d4ef19819763c7a71b961,2042.0,0,792.0906,0,0.0,1,1316.425,0,2694.90381,9,1,0,0.0
9,0,1,1,2018-10-15T00:51:07Z,125.8,byplayer,1,1,30,0,0.0,1,1,0,0,247.095718,0,tandyman,account.575dfb00cf3d4ef19819763c7a71b961,2039.0,0,0.0,0,0.0,0,1184.189,0,2923.00635,4,6,0,0.0
10,1,1,0,2018-10-15T00:44:31Z,411.079956,byplayer,0,0,21,0,0.0,1,2,0,0,12.6833658,0,tandyman,account.575dfb00cf3d4ef19819763c7a71b961,2040.0,0,0.0,0,0.0,0,249.531,0,166.984039,3,32,0,0.0
11,1,0,1,2018-10-15T00:34:32Z,251.248184,byplayer,0,4,29,0,0.0,1,1,0,0,6.426027,0,tandyman,account.575dfb00cf3d4ef19819763c7a71b961,2039.0,0,0.0,0,0.0,0,458.213,0,451.40152,5,21,0,0.0
